team,wt_avg_team,season,first_name,last_name,passer_player_id,posteam,passer_player_name,wt_avg
ARI,-6.450530052,2023,Josh,Dobbs,00-0033949,ARI,J.Dobbs,-1.580520927
ATL,-1.777923538,2023,Desmond,Ridder,00-0038122,ATL,D.Ridder,1.62084263
BAL,-3.926681437,2023,Lamar,Jackson,00-0034796,BAL,L.Jackson,2.855339938
BUF,6.612124663,2023,Joshua,Allen,00-0034857,BUF,J.Allen,6.860861623
CAR,-1.12408664,2023,Bryce,Young,00-0039150,CAR,B.Young,-1.580520927
CHI,-7.094203839,2023,Tyson,Bagent,00-0039164,CHI,T.Bagent,-3.547101919
CIN,5.644252927,2023,Joe,Burrow,00-0036442,CIN,J.Burrow,6.026643888
CLE,-1.12400229,2023,Phillip,Walker,00-0033275,CAR,P.Walker,-3.01427445
DAL,3.614197377,2023,Rayne,Prescott,00-0033077,DAL,D.Prescott,4.66957742
DEN,-4.512617679,2023,Russell,Wilson,00-0029263,DEN,R.Wilson,-3.67819199
DET,8.37186853,2023,Jared,Goff,00-0033106,DET,J.Goff,8.322658554
GB,-0.084423937,2023,Jordan,Love,00-0036264,GB,J.Love,-1.060689575
HOU,-6.612207543,2023,Coleridge,Stroud,00-0039163,HOU,C.Stroud,-4.324581379
IND,-7.094203839,2023,Gardner,Minshew,00-0035289,PHI,G.Minshew,-5.580856605
JAX,4.652730735,2023,Trevor,Lawrence,00-0036971,JAX,T.Lawrence,5.094389281
KC,10.1383022,2023,Patrick,Mahomes,00-0033873,KC,P.Mahomes,10.16761541
LA,-3.840533207,2023,John,Stafford,00-0026498,LA,M.Stafford,-0.243507234
LAC,0.930399889,2023,Justin,Herbert,00-0036355,LAC,J.Herbert,0.711280047
LV,0.908776727,2023,James,Garoppolo,00-0031345,SF,J.Garoppolo,5.657352706
MIA,0.158773254,2023,Tua,Tagovailoa,00-0036212,MIA,T.Tagovailoa,4.332376308
MIN,0.098119224,2023,Kirk,Cousins,00-0029604,MIN,K.Cousins,0.29503822
NE,-2.215078068,2023,Michael,Jones,00-0036972,NE,M.Jones,-2.616891698
NO,-0.260668403,2023,Derek,Carr,00-0031280,LV,D.Carr,1.060085616
NYG,1.637429874,2023,Tyrod,Taylor,00-0028118,NYG,T.Taylor,-5.556571332
NYJ,-3.147596056,2023,Zachary,Wilson,00-0037013,NYJ,Z.Wilson,-3.757428198
PHI,3.910855341,2023,Jalen,Hurts,00-0036389,PHI,J.Hurts,6.043579962
PIT,4.463375636,2023,Kenny,Pickett,00-0038102,PIT,K.Pickett,3.154839992
SEA,-0.966865379,2023,Eugene,Smith,00-0030565,SEA,G.Smith,-0.966865379
SF,7.144126907,2023,Brock,Purdy,00-0037834,SF,B.Purdy,5.790718059
TB,0.757140244,2023,Baker,Mayfield,00-0034855,LA,B.Mayfield,-6.191602403
TEN,-2.355081409,2023,Malik,Willis,00-0038128,TEN,M.Willis,-8.505664323
WAS,-2.320538252,2023,Sam,Howell,00-0037077,WAS,S.Howell,-1.580520927
